time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,zone,zone_severity,hour,month,day_of_week,tsl,hazard_label,target,norm_mag,norm_depth,risk_score
2015-01-01 05:01:10.640,"near the east coast of Honshu, Japan",4.8,41.39,142.0405,38.8957,earthquake,,0,reviewed,",usc000tb3v,",0,8.3,5,1,3,0.0,MEDIUM,1,0.48,0.9408714285714286,7.232614285714285
2015-01-01 06:48:29.670,"93 km N of Isangel, Vanuatu",4.6,223.61,169.1795,-18.7052,earthquake,,0,reviewed,",usc000tb42,",0,8.3,6,1,3,1.7886194444444443,MEDIUM,1,0.45999999999999996,0.6805571428571429,6.371671428571428
2015-01-01 06:54:20.570,central Mid-Atlantic Ridge,4.7,10.0,-31.7641,3.4769,earthquake,,0,reviewed,",usc000tb46,",0,8.3,6,1,3,0.09747222222222221,MEDIUM,1,0.47000000000000003,0.9857142857142858,7.327142857142857
2015-01-01 07:12:44.230,"120 km SSE of Kirakira, Solomon Islands",4.6,26.24,162.4998,-11.3818,earthquake,,0,reviewed,",usc000tb4a,",0,8.3,7,1,3,0.30657222222222225,MEDIUM,1,0.45999999999999996,0.9625142857142858,7.217542857142858
2015-01-01 08:49:53.200,"70 km W of F?r?z?b?d, Iran",5.1,10.1,51.858,28.728,earthquake,,0,reviewed,",usc000tb4f,iscgem606436879,",0,8.3,8,1,3,1.6191583333333335,MEDIUM,1,0.51,0.9855714285714285,7.486714285714285
2015-01-01 09:42:00.670,"110 km SSE of Ust’-Kamchatsk Staryy, Russia",4.8,10.0,163.0581,55.2919,earthquake,,0,reviewed,",usc000tb4i,",0,8.3,9,1,3,0.8687416666666666,MEDIUM,1,0.48,0.9857142857142858,7.3671428571428565
2015-01-01 10:07:05.770,central East Pacific Rise,4.7,10.0,-111.054,-11.763,earthquake,,0,reviewed,",usc000tb4l,",0,8.3,10,1,3,0.4180833333333333,MEDIUM,1,0.47000000000000003,0.9857142857142858,7.327142857142857
2015-01-01 10:08:27.740,central East Pacific Rise,4.8,10.0,-111.9268,-13.6748,earthquake,,0,reviewed,",usc000tb4p,",0,8.3,10,1,3,0.022769444444444443,MEDIUM,1,0.48,0.9857142857142858,7.3671428571428565
2015-01-01 12:04:49.450,Kuril Islands,4.7,95.7,152.0761,46.9847,earthquake,,0,reviewed,",usc000tb53,",0,8.3,12,1,3,1.9393638888888889,MEDIUM,1,0.47000000000000003,0.8632857142857143,6.959857142857143
2015-01-01 12:16:14.570,"128 km W of Ferndale, California",5.36,23.9,-125.7746667,40.442,earthquake,green,1,reviewed,",at00nhhzf8,nc72373456,ususc000tb54,usc000tb54,gcmt20150101121614,",0,8.3,12,1,3,0.19031111111111113,MEDIUM,1,0.536,0.9658571428571429,7.531571428571429
2015-01-01 13:57:14.670,"17 km ESE of Tomakomai, Japan",4.7,36.38,141.8008,42.572,earthquake,,0,reviewed,",usc000tb5l,",0,8.3,13,1,3,1.6833611111111113,MEDIUM,1,0.47000000000000003,0.9480285714285714,7.214085714285714
2015-01-01 14:50:16.810,"99 km NE of Pucallpa, Peru",4.6,155.32,-73.8619,-7.7986,earthquake,,0,reviewed,",usc000tb5w,",0,8.3,14,1,3,0.8839277777777778,MEDIUM,1,0.45999999999999996,0.7781142857142858,6.664342857142858
2015-01-01 15:07:11.150,"165 km E of Hihifo, Tonga",4.7,55.19,-172.2761,-15.7017,earthquake,,0,reviewed,",usc000tg5d,",1,8.2,15,1,3,0.28176111111111113,MEDIUM,1,0.47000000000000003,0.9211571428571429,7.103471428571428
2015-01-01 15:32:20.010,"185 km SSW of ‘Ohonua, Tonga",4.9,18.45,-175.7987,-22.8056,earthquake,,0,reviewed,",usc000tb62,",1,8.2,15,1,3,0.41912777777777777,MEDIUM,1,0.49000000000000005,0.9736428571428571,7.340928571428571
2015-01-01 16:41:57.610,"74 km WNW of Siocon, Philippines",4.5,38.99,121.5466,8.0389,earthquake,,0,reviewed,",usc000tg5i,",0,8.3,16,1,3,1.1604444444444446,MEDIUM,1,0.45,0.9443,7.122900000000001
2015-01-01 16:47:50.970,"95 km N of Hihifo, Tonga",4.8,9.53,-173.6375,-15.1086,earthquake,,0,reviewed,",usc000tg5h,",1,8.2,16,1,3,0.09815555555555557,MEDIUM,1,0.48,0.9863857142857143,7.339157142857142
2015-01-01 16:59:11.570,Carlsberg Ridge,4.7,14.85,60.2766,6.5721,earthquake,,0,reviewed,",usc000tg5s,",0,8.3,16,1,3,0.18905555555555556,MEDIUM,1,0.47000000000000003,0.9787857142857143,7.306357142857143
2015-01-01 18:40:39.050,south of the Fiji Islands,4.7,103.04,-177.1409,-23.9848,earthquake,,0,reviewed,",usc000tb6k,",1,8.2,18,1,3,1.6909666666666665,MEDIUM,1,0.47000000000000003,0.8528,6.8984000000000005
2015-01-01 19:16:28.620,northern Mid-Atlantic Ridge,4.5,10.0,-28.8901,49.9202,earthquake,,0,reviewed,",usc000tg5p,",0,8.3,19,1,3,0.5971027777777779,MEDIUM,1,0.45,0.9857142857142858,7.247142857142857
